MouseState { coords: (1075, 548), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1022, 552), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (960, 552), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (895, 554), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (850, 563), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (827, 573), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (819, 579), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (817, 590), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (820, 602), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (830, 612), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (847, 623), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (873, 629), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (907, 632), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (949, 630), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1000, 618), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1049, 596), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1089, 573), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1115, 553), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1126, 534), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1134, 512), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1132, 486), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1111, 446), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1078, 408), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (1038, 368), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (981, 326), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (922, 287), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (863, 258), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (819, 239), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (800, 233), button_pressed: [false, false, false, false, false, false] }
MouseState { coords: (798, 233), button_pressed: [false, false, false, false, false, false] }
